Year,Director,Countries
1956,Robert Aldrich,United States
1957,Mario Monicelli,Italy
1958,Tadashi Imai,Japan
1959,Akira Kurosawa,Japan
1960,Jean-Luc Godard,France
1961,Bernhard Wicki,Austria
1962,Francesco Rosi,Italy
1963,Nikos Koundouros,Greece
1964,Satyajit Ray,India
1965,Satyajit Ray,India
1966,Carlos Saura,Spain
1967,Živojin Pavlović,Serbia
1968,Carlos Saura,Spain
1972,Jean-Pierre Blanc,France
1975,Sergei Solovyov,Russia
1976,Mario Monicelli,Italy
1977,Manuel Gutiérrez Aragón,Spain
1978,Georgi Djulgerov,Bulgaria
1979,Astrid Henning-Jensen,Denmark
1980,István Szabó,Hungary
1982,Mario Monicelli,Italy
1983,Éric Rohmer,France
1984,Costas Ferris,Greece
1984,Ettore Scola,Italy
1985,Robert Benton,United States
1986,Giorgi Shengelaya,Russia
1987,Oliver Stone,United States
1988,Norman Jewison,Canada
1989,Dušan Hanák,Czech Republic
1990,Michael Verhoeven,Germany
1991,Jonathan Demme,United States
1991,Ricky Tognazzi,Italy
1992,Jan Troell,Sweden
1993,Andrew Birkin,England
1994,Krzysztof Kieślowski,Poland
1995,Richard Linklater,United States
1996,Yim Ho,Hong Kong
1996,Richard Loncraine,England
1997,Eric Heumann,France
1998,Neil Jordan,Ireland
1999,Stephen Frears,England
2000,Miloš Forman,Czech Republic|United States
2001,Lin Cheng-sheng,Taiwan
2002,Otar Iosseliani,Georgia
2003,Patrice Chéreau,France
2004,Kim Ki-duk,South Korea
2005,Marc Rothemund,Germany
2006,Michael Winterbottom & Mat Whitecross,England
2007,Joseph Cedar,Israel
2008,Paul Thomas Anderson,United States
2009,Asghar Farhadi,Iran
2010,Roman Polanski,Poland|France
2011,Ulrich Köhler,Germany
2012,Christian Petzold,Germany
2013,David Gordon Green,United States
2014,Richard Linklater,United States
2015,Radu Jude,Romania
2015,Malgorzata Szumowska,Poland
2016,Mia Hansen-Løve,France
2017,Aki Kaurismäki,Finland
2018,Wes Anderson,United States
2019,Angela Schanelec,Germany
