Year	Director	Movie	Countries
1956	Robert Aldrich	Autumn Leaves	United_States
1957	Mario Monicelli	Fathers and Sons	Italy
1958	Tadashi Imai	Jun'ai Monogatari	Japan
1959	Akira Kurosawa	The Hidden Fortress	Japan
1960	Jean-Luc Godard	Breathless	France
1961	Bernhard Wicki	The Miracle of Father Malachia	Austria
1962	Francesco Rosi	Salvatore Giuliano	Italy
1963	Nikos Koundouros	Young Aphrodites	Greece
1964	Satyajit Ray	Mahanagar (The Big City)	India
1965	Satyajit Ray	Charulata (aka The Lonely Wife)	India
1966	Carlos Saura	La caza (The Hunt)	Spain
1967	Živojin Pavlović	The Rats Woke Up	Yugoslavia
1968	Carlos Saura	Peppermint Frappé	Spain
1972	Jean-Pierre Blanc	The Old Maid	France
1975	Sergei Solovyov	One Hundred Days After Childhood	Russia
1976	Mario Monicelli	Caro Michele	Italy
1977	Manuel Gutiérrez Aragón	Black Litter	Spain
1978	Georgi Djulgerov	Advantage	Bulgaria
1979	Astrid Henning-Jensen	Winterborn	Denmark
1980	István Szabó	Bizalom (Confidence)	Hungary
1982	Mario Monicelli	Il Marchese del Grillo	Italy
1983	Éric Rohmer	Pauline at the Beach	France
1984	Costas Ferris	Rembetiko	Greece
1984	Ettore Scola	Le Bal	Italy
1985	Robert Benton	Places in the Heart	United_States
1986	Giorgi Shengelaya	The Journey of a Young Composer	Russia
1987	Oliver Stone	Platoon	United_States
1988	Norman Jewison	Moonstruck	Canada
1989	Dušan Hanák	I Love, You Love	Czech_Republic
1990	Michael Verhoeven	The Nasty Girl	Germany
1991	Jonathan Demme	The Silence of the Lambs	United_States
1991	Ricky Tognazzi	Ultra	Italy
1992	Jan Troell	Il Capitano: A Swedish Requiem	Sweden
1993	Andrew Birkin	The Cement Garden	England
1994	Krzysztof Kieślowski	Three Colors: White	Poland
1995	Richard Linklater	Before Sunrise	United_States
1996	Yim Ho	The Sun Has Ears	Hong_Kong
1996	Richard Loncraine	Richard III	England
1997	Eric Heumann	Port Djema	France
1998	Neil Jordan	The Butcher Boy	Ireland
1999	Stephen Frears	The Hi-Lo Country	England
2000	Miloš Forman	Man on the Moon	Czech_Republic United_States
2001	Lin Cheng-sheng	Betelnut Beauty	Taiwan
2002	Otar Iosseliani	Monday Morning	Georgia
2003	Patrice Chéreau	Son frère (His Brother)	France
2004	Kim Ki-duk	Samaritan Girl	South_Korea
2005	Marc Rothemund	Sophie Scholl - The Final Days	Germany
2006	Michael Winterbottom Mat Whitecross	The Road to Guantánamo	England
2007	Joseph Cedar	Beaufort	Israel
2008	Paul Thomas Anderson	There Will Be Blood	United_States
2009	Asghar Farhadi	About Elly	Iran
2010	Roman Polanski	The Ghost Writer	Poland France
2011	Ulrich Köhler	Sleeping Sickness	Germany
2012	Christian Petzold	Barbara	Germany
2013	David Gordon Green	Prince Avalanche	United_States
2014	Richard Linklater	Boyhood	United_States
2015	Radu Jude	Aferim!	Romania
2015	Malgorzata Szumowska	Body	Poland
2016	Mia Hansen-Løve	Things to Come	France
2017	Aki Kaurismäki	The Other Side of Hope	Finland
2018	Wes Anderson	Isle of Dogs	United_States
2019	Angela Schanelec	I Was at Home, But	Germany
