Year	Movie	Director(s)	Countries
1951	Four in a Jeep	Leopold Lindtberg	Switzerland
1951	Without Leaving an Address	Jean-Paul Le Chanois	France
1951	In Beaver Valley	James Algar	United States
1951	Justice Is Done	André Cayatte	France
1951	Cinderella	Wilfred Jackson	United States
1952	One Summer of Happiness	Arne Mattsson	Sweden
1953	The Wages of Fear	Henri-Georges Clouzot	France Italy
1954	Hobson's Choice	David Lean	United Kingdom
1955	Die Ratten	Robert 	Siodmak	West Germany
1956	Invitation to the Dance	Gene Kelly	United States
1957	12 Angry Men	Sidney Lumet	United States
1958	Wild Strawberries	Ingmar Bergman	Sweden
1959	The Cousins	Claude Chabrol	France
1960	El Lazarillo de Tormes	César Fernández Ardavín	Spain Italy
1961	La notte	Michelangelo Antonioni	Italy
1962	A Kind of Loving	John Schlesinger	United Kingdom
1963	To Bed or Not to Bed	Gian Luigi Polidoro	Italy
1963	Bushido: The Cruel Code of the Samurai	Tadashi Imai	Japan
1964	Dry Summer	Metin Erksan	Turkey
1965	Alphaville	Jean-Luc Godard	France
1966	Cul-de-Sac	Roman Polanski	United Kingdom
1967	The Departure	Jerzy Skolimowski	Belgium
1968	Who Saw Him Die?	Jan Troell	Sweden
1969	Early Works	Želimir Žilnik Yugoslavia
1971	The Garden of the Finzi-Continis	Vittorio De Sica	Italy
1972	The Canterbury Tales	Pier Paolo Pasolini	Italy
1973	Distant Thunder	Satyajit Ray	India
1974	The Apprenticeship of Duddy Kravitz	Ted Kotcheff	Canada
1975	Adoption	Márta Mészáros	Hungary
1976	Buffalo Bill and the Indians, or Sitting Bull's History Lesson	Robert Altman	United States
1977	The Ascent	Larisa Shepitko	Soviet Union
1978	Las truchas	José Luis García Sánchez	Spain
1978	What Max Said	Emilio Martínez-Lázaro	Spain
1978	Ascensor	Tomás Muñoz	Spain
1979	David	Peter Lilienthal	West Germany West Germany
1980	Heartland	Richard Pearce	United States
1980	Palermo or Wolfsburg	Werner Schroeter	West Germany
1981	Deprisa, deprisa	Carlos Saura	Spain
1982	Veronika Voss	Rainer Werner Fassbinder	West Germany
1983	Ascendancy	Edward Bennett	United Kingdom
1983	La colmena	Mario Camus	Spain
1984	Love Streams	John Cassavetes	United States
1985	The Woman and the Stranger	Rainer Simon	East Germany
1985	Wetherby	David Hare	United Kingdom
1986	Stammheim	Reinhard Hauff	West Germany
1987	The Theme	Gleb Panfilov	Soviet Union
1988	Red Sorghum	Zhang Yimou	China
1989	Rain Man	Barry Levinson	United States
1990	Music Box Costa-Gavras	United States
1990	Larks on a String	Jiří Menzel	Czechoslovakia
1991	The House of Smiles	Marco Ferreri	Italy
1992	Grand Canyon	Lawrence Kasdan	United States
1993	Woman Sesame Oil Maker	Xie Fei	China
1993	The Wedding Banquet	Ang Lee	Taiwan United States USA
1994	In the Name of the Father	Jim Sheridan	Ireland United Kingdom
1995	The Bait	Bertrand Tavernier	France
1996	Sense and Sensibility	Ang Lee	United States
1997	The People vs. Larry Flynt	Miloš Forman	United States
1998	Central Station	Walter Salles	Brazil
1999	The Thin Red Line	Terrence Malick	United States
2000	Magnolia	Paul Thomas Anderson	United States
2001	Intimacy	Patrice Chéreau	United Kingdom France
2002	Spirited Away	Hayao Miyazaki	Japan
2002	Bloody Sunday	Paul Greengrass	United Kingdom Ireland
2003	In This World	Michael Winterbottom	United Kingdom
2004	Head-On	Fatih Akin	Germany Turkey
2005	U-Carmen eKhayelitsha	Mark Dornford-May	South Africa
2006	Grbavica	Jasmila Žbanić	Bosnia and Herzegovina
2007	Tuya's Marriage	Wang Quan'an	China
2008	Elite Squad	José Padilha	Brazil
2009	The Milk of Sorrow	Claudia Llosa	Peru
2010	Honey	Bal	Semih Kaplanoğlu	Turkey
2011	A Separation	Asghar Farhadi	Iran
2012	Caesar Must Die	Paolo and Vittorio Taviani	Italy
2013	Child's Pose	Călin Peter Netzer	Romania
2014	Black Coal, Thin Ice	Diao Yinan	China
2015	Taxi	Jafar Panahi	Iran
2016	Fire at Sea	Gianfranco Rosi	Italy
2017	On Body and Soul	Ildikó Enyedi	Hungary
2018	Touch Me Not	Adina Pintilie	Romania Germany Czech Republic Bulgaria France
2019	Synonyms	Nadav Lapid	France Israel
