Year,Director,Countries
1946,René Clément,France
1949,René Clément,France
1951,Luis Buñuel,Mexico
1952,Christian-Jaque,France
1955,Jules Dassin,France
1955,Sergei Vasilyev,Russia
1956,Sergei Yutkevich,Russia
1957,Robert Bresson,France
1958,Ingmar Bergman,Sweden
1959,François Truffaut,France
1961,Yuliya Solntseva,Russia
1965,Liviu Ciulei,Romania
1966,Sergei Yutkevich,Russia
1967,Ferenc Kósa,Hungary
1969,Glauber Rocha,Brazil
1969,Vojtěch Jasný,Czechia
1970,John Boorman,United Kingdom
1972,Miklós Jancsó,Hungary
1975,Michel Brault,Canada
1975,Costa Gavras,Greece
1976,Ettore Scola,Italy
1978,Nagisa Oshima,Japan
1979,Terrence Malick,United States of America
1982,Werner Herzog,Germany
1983,Robert Bresson,France
1983,Andrei Tarkovsky,Russia
1984,Bertrand Tavernier,France
1985,André Téchiné,France
1986,Martin Scorsese,United States of America
1987,Wim Wenders,Germany
1988,Fernando Solanas,Argentina
1989,Emir Kusturica,Serbia
1990,Pavel Lungin,Russia
1991,Joel Coen,United States of America
1992,Robert Altman,United States of America
1993,Mike Leigh,United Kingdom
1994,Nanni Moretti,Italy
1995,Mathieu Kassovitz,France
1996,Joel Coen,United States of America
1997,Wong Kar-wai,Hong Kong
1998,John Boorman,United Kingdom
1999,Pedro Almodóvar,Spain
2000,Edward Yang,Taiwan
2001,Joel Coen,United States of America
2001,David Lynch,United States of America
2002,Im Kwon-taek,South Korea
2002,Paul Thomas Anderson,United States of America
2003,Gus Van Sant,United States of America
2004,Tony Gatlif,France
2005,Michael Haneke,Austria
2006,Alejandro González Iñárritu,Mexico
2007,Julian Schnabel,United States of America
2008,Nuri Bilge Ceylan,Turkey
2009,Brillante Mendoza,Philippines
2010,Mathieu Amalric,France
2011,Nicolas Winding Refn,United States of America
2012,Carlos Reygadas,Mexico
2013,Amat Escalante,Mexico
2014,Bennett Miller,United States of America
2015,Hou Hsiao-hsien,Taiwan
2016,Cristian Mungiu,Romania
2016,Olivier Assayas,France
2017,Sofia Coppola,United States of America
2018,Paweł Pawlikowski,Poland
2019,Jean-Pierre and Luc Dardenne,Belgium
