Year,Movie,Countries
1946,The Southerner,United States
1947,The Strike,Czechia
1948,Hamlet,United Kingdom
1949,Manon,France
1950,Justice Is Done,France
1951,Rashomon,Japan
1952,Forbidden Games,France
1954,Romeo and Juliet,Italy|United Kingdom
1955,Ordet,Denmark
1957,Aparajito,India
1958,Rickshaw Man,Japan
1959,General Della Rovere,Italy|France
1959,The Great War,Italy|France
1960,Tomorrow Is My Turn,France|Italy|Germany
1961,Last Year at Marienbad,France|Italy
1962,Family Diary,Italy
1962,Ivan's Childhood,Russia
1963,Hands over the City,Italy
1964,Red Desert,Italy
1965,Sandra of a Thousand Delights,Italy
1966,The Battle of Algiers,Italy Algeria
1967,Belle de Jour,France
1968,Artists Under the Big Top: Perplexed,Germany
1980,Atlantic City,Canada|France
1980,Gloria,United States
1981,Marianne and Juliane,Germany
1982,The State of Things,Germany
1983,First Name: Carmen,France
1984,A Year of the Quiet,Poland
1985,Vagabond,France
1986,The Green Ray,France
1987,Au revoir les enfants,France|Germany|Italy
1988,The Legend of the Holy Drinker,Italy|France
1989,A City of Sadness,Taiwan
1990,Rosencrantz & Guildenstern Are Dead,United Kingdom|United States
1991,Close to Eden,Russia
1992,The Story of Qiu Ju,China
1993,Short Cuts,United States
1993,Three Colours: Blue,France|Poland|Switzerland
1994,Vive L'Amour,Taiwan
1994,Before the Rain,Macedonia
1995,Cyclo,France|Vietnam
1996,Michael Collins,United States|Ireland
1997,Fireworks,Japan
1998,The Way We Laughed,Italy
1999,Not One Less,China
2000,The Circle,Iran|Italy|Switzerland
2001,Monsoon Wedding,India|France|Germany|Italy|United States
2002,The Magdalene Sisters,Ireland|United Kingdom
2003,The Return,Russia
2004,Vera Drake,United Kingdom
2005,Brokeback Mountain,United States
2006,Still Life,China
2007,"Lust, Caution",Taiwan|China|United States
2008,The Wrestler,United States
2009,Lebanon,Israel
2010,Somewhere,United States
2011,Faust,Russia
2012,Pietà,South Korea
2013,Sacro GRA,Italy
2014,A Pigeon Sat on a Branch Reflecting on Existence,Sweden|Norway|France|Germany|Denmark
2015,From Afar,Venezuela
2016,The Woman Who Left,Philippines
2017,The Shape of Water,United States
2018,Roma,Mexico
2019,Joker,United States
