Year	Movie	Director	Countries
1946	The Southerner	Jean Renoir	United_States
1947	The Strike	Karel Steklý	Czech_Republic
1948	Hamlet	Laurence Olivier	United_Kingdom
1949	Manon	Henri-Georges Clouzot	France
1950	Justice Is Done	André Cayatte	France
1951	Rashomon	Akira Kurosawa	Japan
1952	Forbidden Games	René Clément	France
1954	Romeo and Juliet	Renato Castellani	Italy United_Kingdom
1955	Ordet	Carl Theodor Dreyer	Denmark
1957	Aparajito	Satyajit Ray	India
1958	Rickshaw Man	Hiroshi Inagaki	Japan
1959	General Della Rovere	Roberto Rossellini	Italy France
1959	The Great War	Mario Monicelli Italy France
1960	Tomorrow Is My Turn	André Cayatte	France Italy Germany
1961	Last Year at Marienbad	Alain Resnais	France Italy
1962	Family Diary    Valerio Zurlini	Italy
1962	Ivan's Childhood	Andrei Tarkovsky	Russia
1963	Hands over the City	Francesco Rosi	Italy
1964	Red Desert	Michelangelo Antonioni	Italy
1965	Sandra of a Thousand Delights	Luchino Visconti	Italy
1966	The Battle of Algiers	Gillo Pontecorvo	Italy Algeria
1967	Belle de Jour	Luis Buñuel	France
1968	Artists Under the Big Top: Perplexed	Alexander Kluge	Germany
1980	Atlantic City	Louis Malle	Canada France
1980	Gloria	John Cassavetes	United_States
1981	Marianne and Juliane	Margarethe von Trotta	Germany
1982	The State of Things	Wim Wenders Germany
1983	First Name: Carmen	Jean-Luc Godard	France
1984	A Year of the Quiet	Krzysztof Zanussi	Poland
1985	Vagabond	Agnès Varda	France
1986	The Green Ray	Éric Rohmer	France
1987	Au revoir les enfants	Louis Malle France Germany Italy
1988	The Legend of the Holy Drinker	Ermanno Olmi	Italy France
1989	A City of Sadness	Hou Hsiao-hsien	Taiwan
1990	Rosencrantz & Guildenstern Are Dead	Tom Stoppard	United_Kingdom United_States
1991	Close to Eden	Russia
1992	The Story of Qiu Ju	Zhang Yimou	China
1993	Short Cuts	Robert Altman	United_States
1993	Three Colours: Blue	Krzysztof Kieślowski	France Poland Switzerland
1994	Vive L'Amour	Tsai Ming-liang	Taiwan
1994	Before the Rain	Milčo Mančevski	Macedonia
1995	Cyclo	Anh Hung Tran	France Vietnam
1996	Michael Collins	Neil Jordan	United_States Ireland
1997	Fireworks	Takeshi Kitano	Japan
1998	The Way We Laughed	Gianni Amelio	Italy
1999	Not One Less	Zhang Yimou	China
2000	The Circle	Jafar Panahi	Iran Italy Switzerland
2001	Monsoon Wedding	Mira Nair	India France Germany Italy United_States
2002	The Magdalene Sisters	Peter Mullan	Ireland United_Kingdom
2003	The Return	Andrey Zvyagintsev	Russia
2004	Vera Drake	Mike Leigh	United_Kingdom
2005	Brokeback Mountain	Ang Lee	United_States
2006	Still Life	Jia Zhangke	China
2007	Lust, Caution	Ang Lee	Taiwan China United_States
2008	The Wrestler	Darren Aronofsky	United_States
2009	Lebanon	Samuel Maoz	Israel
2010	Somewhere	Sofia Coppola	United_States
2011	Faust	Alexander Sokurov	Russia
2012	Pietà	Kim Ki-duk	South_Korea
2013	Sacro GRA	Gianfranco Rosi	Italy
2014	A Pigeon Sat on a Branch Reflecting on Existence	Roy Andersson	Sweden Norway France Germany Denmark
2015	From Afar	Lorenzo Vigas Venezuela
2016	The Woman Who Left	Lav Diaz Philippines
2017	The Shape of Water	Guillermo del Toro	United_States
2018	Roma	Alfonso Cuarón	Mexico
2019	Joker	Todd Phillips	United_States
